"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","5","576-4360-1-ND","MIC826RYMT-TR","IC SUPERVISOR 1 CHANNEL 6TDFN","","0","0.42000","$2.10"
"2","5","S1113E-02-ND","GEC02SBSN-M89","CONN HEADER SMD R/A 2POS 2.54MM","","0","0.35000","$1.75"
"3","5","1510-2310-1-ND","SCP7RTJ5HEL1RLQF6E","LED","","0","1.07000","$5.35"
"4","5","P1E101CT-ND","EVM-1ESX30B12","TRIMMER 100 OHM 0.2W J LEAD TOP","","0","0.73000","$3.65"
"5","100","RMCF0402ZT0R00CT-ND","RMCF0402ZT0R00","RES 0 OHM JUMPER 1/16W 0402","","0","0.00420","$0.42"
"6","10","CR2512-J/-000ELFCT-ND","CR2512-J/-000ELF","RES SMD 0 OHM JUMPER 1W 2512","","0","0.14500","$1.45"
"7","10","587-1944-1-ND","JMK107BJ475MK-T","CAP CER 4.7UF 6.3V X5R 0603","","0","0.17800","$1.78"
"8","10","587-5443-1-ND","JMK107BBJ106MK-T","CAP CER 10UF 6.3V X5R 0603","","0","0.27100","$2.71"
"9","10","490-13241-1-ND","GRM186R60J226ME15D","CAP CER 22UF 6.3V X5R 0603","","0","0.20200","$2.02"
"10","10","541-IHHP0806ZHER1R0M01CT-ND","IHHP0806ZHER1R0M01","IHHP-0806ZF-01 1 20% ER E3","","0","0.37100","$3.71"
"11","100","1292-WR04X4700FTLCT-ND","WR04X4700FTL","RES 470 OHM 1% 1/16W 0402","","0","0.00310","$0.31"
"12","10","3147-B1911NG--20D000214U1930CT-ND","B1911NG--20D000214U1930","LED GREEN CLEAR 1608 SMD","","0","0.04300","$0.43"
"13","5","MCP73831T-2DCI/MCCT-ND","MCP73831T-2DCI/MC","IC BATT CONTRL LI-ION 1CELL 8DFN","","0","0.80000","$4.00"
"14","5","20-ISL9122AIRNZ-T7ACT-ND","ISL9122AIRNZ-T7A","ULTRA-LOW IQ BUCK-BOOST REGULATO","","0","3.03000","$15.15"
"15","25","ED3082-ND","EDJ1G0","SHUNT .100"" BLK AU","","0","0.03600","$0.90"
"16","100","311-27KJRCT-ND","RC0402JR-0727KL","RES 27K OHM 5% 1/16W 0402","","0","0.00480","$0.48"
"","","","","","","","Subtotal","$46.21"
